city,neighborhood,zip_code,street_name,street_number,floor,floor_location,door,property_type,construction_date,renovation_year,number_of_rooms,number_of_bedrooms,number_of_bathrooms,number_of_balconies,number_of_garages,number_of_parking,number_of_floors,number_of_units,living_area,total_area,is_barrier_free,heating_type,has_energy_certificate,has_garage,has_parking,has_balcony,price,lon,lat
Nürnberg,Schoppershof,90491,Merseburger Straße,47 a,,,,single_family_house,1924-02-06,,,,,,,,,1.0,112.0,263.0,,,,,False,,457347.0,11.10793,49.469401000000005
Nürnberg,Laufamholz,90482,Schwandorfer Straße,6,,,,single_family_house,1960-04-01,,,,,,,,,1.0,114.0,323.0,,,,,False,,353043.0,11.170792,49.462288
Nürnberg,Trierer Straße,90469,Riegelsberger Straße,17,,,,multi_family_house,1957-11-10,,,,,,,,,2.0,261.0,749.0,,,,,False,,597717.0,11.094001,49.399813
Nürnberg,Uhlandstraße,90408,Heroldstraße,8,,,,multi_family_house,2019-08-13,,,,,,,,,11.0,897.0,311.0,,,,,False,,3940024.0,11.069965999999999,49.467532
Nürnberg,Trierer Straße,90469,Kettelerstraße,45A,,,,multi_family_house,1945-09-12,,,,,,,,,3.0,341.0,742.0,,,,,False,,797210.0,11.109742,49.404569
Nürnberg,Steinbühl,90443,Melanchthonplatz,7,2.0,,,apartment,1964-07-03,2019-01-01,3.0,,,,,0.0,,1.0,70.0,187.0,,central_heating,,,,False,160846.0,11.070167999999999,49.440173
Nürnberg,Ziegelstein,90411,Marloffsteiner Straße,61,,,,single_family_house,1934-09-18,,,,,,,,,1.0,133.0,325.0,,,,,False,,378902.0,11.108089000000001,49.479735999999995
Nürnberg,Röthenbach West,90449,Zwernberger Weg,27,,,,multi_family_house,1956-05-27,,,,,,,,,7.0,631.0,540.0,,,,,False,,1329487.0,11.021130999999999,49.421078
Nürnberg,Glockenhof,90461,Hintere Bleiweißstraße,8,,,,multi_family_house,1951-08-15,,,,,,,,,9.0,799.0,588.0,,,,,False,,1777282.0,11.092448,49.440677
Nürnberg,Buchenbühl,90411,Zum Steinbruch,9,,,,multi_family_house,1924-01-26,,,,,,,,,3.0,200.0,710.0,,,,,False,,634722.0,11.116926,49.504491
Nürnberg,Reichelsdorf,90453,Steinhauserweg,70,,,,single_family_house,1953-05-17,,,,,,,,,1.0,129.0,773.0,,,,,False,,510827.0,11.036344999999999,49.37208
Nürnberg,Laufamholz,90482,Lagerlöfstraße,3,,,,,1967-04-23,,,,,,,,,1.0,121.0,632.0,,,,,False,,406267.0,11.181036,49.46821799999999
Nürnberg,St. Jobst,90491,Dr.-Carlo-Schmid-Straße,194,,,,multi_family_house,1982-05-25,,,,,,,,,9.0,742.0,333.0,,,,,False,,2854964.0,11.123572,49.462703999999995
Nürnberg,St. Johannis,90419,Johannisstraße,4,,,,multi_family_house,1998-06-24,,,,,,,,,11.0,925.0,510.0,,,,,False,,3428148.0,11.070257999999999,49.457120999999994
Nürnberg,St. Jobst,90491,Äußere Sulzbacher Straße,43,,,,multi_family_house,1897-01-08,,,,,,,,,4.0,407.0,323.0,,,,,False,,956481.0,11.108732,49.461518
Nürnberg,Ludwigsfeld,90478,Kupferstraße,15,,,,multi_family_house,1966-03-21,,,,,,,,,10.0,653.0,550.0,,,,,False,,1322304.0,11.103599,49.446024
Nürnberg,Thon,90425,Herrnackerstraße,65,,,,multi_family_house,1951-08-02,,,,,,,,,6.0,459.0,293.0,,,,,False,,1320007.0,11.068534,49.473152000000006
Nürnberg,Buch ,90427,Bucher Hauptstraße,109,,,,single_family_house,1942-06-07,,,,,,,,,1.0,91.0,345.0,,,,,False,,306142.0,11.043769999999999,49.500234999999996
Nürnberg,Schmausenbuckstraße,90480,Effnerstraße,13,,,,single_family_house,1970-01-05,,,,,,,,,1.0,120.0,249.0,,,,,False,,435907.0,11.12439,49.454003
Nürnberg,Langwasser Nordost,90471,Hans-Fallada-Straße,83,,,,single_family_house,1974-06-20,,,,,,,,,1.0,104.0,274.0,,,,,False,,423886.0,11.13434,49.41541
Nürnberg,Uhlandstraße,90408,Kobergerstraße,54,,,,multi_family_house,1944-11-27,,,,,,,,,5.0,340.0,311.0,,,,,False,,919305.0,11.074570999999999,49.464453999999996
Nürnberg,Katzwang,90455,Erlbachstraße,21,,,,single_family_house,1965-06-11,,,,,,,,,1.0,135.0,541.0,,,,,False,,404725.0,11.056456,49.356147
Nürnberg,Fischbach,90475,Flachsröststraße,58 d,,,,single_family_house,1976-05-25,,,,,,,,,1.0,161.0,574.0,,,,,False,,514058.0,11.183711,49.428182
Nürnberg,Pirckheimerstraße,90408,Hastverstraße,30,,,,multi_family_house,1887-07-13,,,,,,,,,6.0,391.0,527.0,,,,,False,,1411529.0,11.080022999999999,49.461746
Nürnberg,Langwasser Südost,90473,Reinerzer Straße,101,,,,multi_family_house,1954-05-21,,,,,,,,,7.0,587.0,785.0,,,,,False,,1290734.0,11.141583,49.406763
Nürnberg,Trierer Straße,90469,Trierer Straße,62A,,,,single_family_house,1937-03-04,,,,,,,,,1.0,100.0,754.0,,,,,False,,386855.0,11.097352,49.406841
Nürnberg,Dianastraße,90443,Dianaplatz,9,,,,multi_family_house,1946-09-07,,,,,,,,,9.0,712.0,301.0,,,,,False,,1727399.0,11.066051,49.428649
Nürnberg,"Altenfurt, Moorenbrunn",90475,Altenfurter Straße,54,,,,multi_family_house,1931-01-26,,,,,,,,,5.0,484.0,771.0,,,,,False,,1433892.0,11.174562,49.404425
Nürnberg,Bielingplatz,90419,Bucher Straße,89,,,,multi_family_house,1971-06-20,,,,,,,,,13.0,925.0,338.0,,,,,False,,2493484.0,11.069745,49.464977
Nürnberg,Eibach,90451,Castellstraße,59 a,,,,single_family_house,1934-05-07,,,,,,,,,1.0,136.0,775.0,,,,,False,,477053.0,11.02807,49.407853
